codeCPV_2,codeCPV_FR
15622000,"Glucose et produits à base de glucose, de fructose et produits à base de fructose"
15622100,Glucose et produits à base de glucose
15622110,Glucose
15622120,Sirop de glucose
15622300,Fructose et produits à base de fructose
15622310,Fructose
15622320,Préparations à base de fructose
15622321,Solutions de fructose
15622322,Sirop de fructose
15623000,Amidons et fécules
15624000,Tapioca
15625000,Semoule
15626000,Poudre pour pudding
15700000,Aliments pour animaux
15710000,Aliments prêts à l'emploi pour animaux d'élevage et autres animaux
15711000,Nourriture pour poissons
15712000,Fourrage sec
15713000,Aliments pour animaux de compagnie
15800000,Produits alimentaires divers
15810000,"Produits de panification, pâtisserie fraîche et gâteaux"
15811000,Produits de panification
15811100,Pain
15811200,Petits pains
15811300,Croissants
15811400,Petites crêpes épaisses
15811500,Produits de panification préparés
15811510,Sandwichs
15811511,Sandwichs préparés
15812000,Pâtisserie et gâteaux
15812100,Pâtisserie
15812120,Tourtes
15812121,Tourtes salées
15812122,Tourtes sucrées
15812200,Gâteaux
15813000,Aliments pour petit déjeuner
15820000,Biscottes et biscuits; pâtisserie et gâteaux de conservation
15821000,Produits de panification grillés et pâtisserie
15821100,Produits de panification grillés
15821110,Pain grillé
15821130,Pain croustillant dit Knaeckebrot
15821150,Biscottes
15821200,Biscuits sucrés
15830000,Sucre et produits connexes
15831000,Sucre
15831200,Sucre blanc
15831300,Sucre d'érable et sirop d'érable
15831400,Mélasse
15831500,Sirops de sucre
15831600,Miel
15832000,Déchets provenant de la fabrication du sucre
15833000,Produits à base de sucre
15833100,Desserts
15833110,Fonds de tartes
15840000,Cacao; chocolat et sucreries
15841000,Cacao
15841100,Pâte de cacao
15841200,"Beurre, graisse ou huile de cacao"
15841300,Poudre de cacao non sucrée
15841400,Poudre de cacao sucrée
15842000,Chocolat et sucreries
15842100,Chocolat
15842200,Produits à base de chocolat
15842210,Boisson chocolatée
15842220,Barres de chocolat
15842300,Confiserie
15842310,Bonbons
15842320,Nougat
15842400,"Fruits, fruits à coque ou écorces de fruits confits au sucre"
15850000,Pâtes alimentaires
15851000,Produits farinacés
15851100,Pâtes alimentaires non cuites
15851200,Pâtes alimentaires préparées et couscous
15851210,Pâtes alimentaires préparées
15851220,Pâtes alimentaires farcies
15851230,Lasagnes
15851250,Couscous
15851290,Pâtes alimentaires en conserve
15860000,"Café, thé et produits connexes"
15861000,Café
15861100,Café torréfié
15861200,Café décaféiné
15862000,Succédanés de café
15863000,Thé
15863100,Thé vert
15863200,Thé noir
15864000,Préparations de thé ou de maté
15864100,Thé en sachets
15865000,Infusions
15870000,Condiments et assaisonnements
15871000,Vinaigre; sauces; condiments composés; farine et poudre de moutarde; moutarde préparée
15871100,Vinaigre et succédanés de vinaigre
15871110,Vinaigre ou équivalent
15871200,"Sauces, condiments et assaisonnements composés"
15871210,Sauce soja
15871230,Ketchup
15871250,Moutarde
15871260,Sauces
15871270,Condiments composés
15871273,Mayonnaise
15871274,Pâtes à tartiner pour sandwichs
15871279,Chutney
15872000,Herbes et épices
15872100,Poivre
15872200,Épices
15872300,Herbes
15872400,Sel
15872500,Gingembre
15880000,Produits nutritionnels spéciaux
15881000,Préparations alimentaires homogénéisées
15882000,Produits diététiques
15884000,Aliments pour nourrissons
15890000,Produits alimentaires et produits secs divers
15891000,Soupes et bouillons
15891100,Soupes à base de viande
15891200,Soupes à base de poisson
15891300,Soupes composées
15891400,Soupes
15891410,Soupes instantanées
15891500,Bouillons
15891600,Fonds
15891610,Bouillons instantanés
15891900,Soupes de légumes
15892000,"Sucs et extraits d'origine végétale, matières peptiques et épaississants"
15892100,Sucs d'origine végétale
15892200,Extraits d'origine végétale
15892400,Épaississants
15893000,Denrées sèches
15893100,Préparations alimentaires
15893200,Préparations pour desserts
15893300,Préparations pour sauces
15894000,Produits alimentaires transformés
15894100,Repas végétariens
15894200,Repas préparés
15894210,Repas pour écoles
15894220,Repas pour hôpitaux
15894300,Plats préparés
15894400,Casse-croûte
15894500,Produits pour distributeurs automatiques
15894600,Garnitures pour sandwichs
15894700,Épicerie fine
15895000,Aliments pour restauration rapide
15895100,Hamburgers
15896000,Produits surgelés
15897000,Aliments en conserve et rations de campagne
15897100,Rations de campagne
15897200,Aliments en conserve
15897300,Colis alimentaires
15898000,Levure
15899000,Levure chimique
15900000,"Boissons, tabac et produits connexes"
15910000,Boissons alcoolisées distillées
15911000,Boissons spiritueuses
15911100,Spiritueux
15911200,Liqueurs
15930000,Vins
15931000,Vins non aromatisés
15931100,Vin mousseux
15931200,Vin de table
15931300,Porto
15931400,Madère
15931500,Moût de raisin
15931600,Sherry
15932000,Lie de vin
15940000,Cidre et autres vins à base de fruits
15941000,Cidre
15942000,Vins à base de fruits
15950000,Boissons fermentées non distillées
15951000,Vermouth
15960000,Bière de malt
15961000,Bière
15961100,Bière blonde
15962000,Drèches de brasserie ou de distillerie
15980000,Boissons sans alcool
15981000,Eau minérale
15981100,Eau minérale plate
15981200,Eau minérale gazeuse
15981300,Eau à l'état solide
15981310,Glace
15981320,Neige
15981400,Eaux minérales aromatisées
15982000,Boissons non alcoolisées
15982100,Sirops de fruits
15982200,Lait chocolaté
15990000,"Tabac, produits à base de tabac et articles connexes"
15991000,Produits à base de tabac
15991100,Cigares
15991200,Cigarillos
15991300,Cigarettes
15992000,Tabac
15992100,Tabac manufacturé
15993000,Articles de bureau de tabac
15994000,Papier à cigarettes et papier-filtre
15994100,Papier à cigarettes
15994200,Papier-filtre
16000000,Machines agricoles
16100000,Machines agricoles et sylvicoles pour la préparation ou la culture des sols
16110000,Charrues ou herses à disques
16120000,"Herses, scarificateurs, cultivateurs, sarcleuses ou houes"
16130000,"Semoirs, plantoirs ou repiqueurs"
16140000,Épandeurs de fumier
16141000,Distributeurs d'engrais
16150000,Rouleaux pour pelouses ou terrains de sports
16160000,Matériel de jardinage divers
16300000,Moissonneuses
16310000,Faucheuses
16311000,Tondeuses à gazon
16311100,"Tondeuses à gazon pour pelouses, parcs ou terrains de sports"
16320000,Machines de fenaison
16330000,Presses à paille ou à fourrage
16331000,Presses ramasseuses
16340000,Moissonneuses-batteuses
16400000,Machines de pulvérisation à usage agricole ou horticole
16500000,Remorques et semi-remorques autochargeuses ou déchargeuses à usage agricole
16510000,Remorques autochargeuses à usage agricole
16520000,Remorques déchargeuses à usage agricole
16530000,Semi-remorques autochargeuses à usage agricole
16540000,Semi-remorques déchargeuses à usage agricole
16600000,Machines spécialisées à usage agricole ou sylvicole
16610000,"Machines de nettoyage, de tri ou de calibrage d'œufs, de fruits ou d'autres produits"
16611000,Machines de nettoyage de produits agricoles
16611100,Machines de nettoyage d'œufs
